0,0,0.1,0.0,0,19841,100
304,1,0.1,0.0,304,19841,217
607,1,0.1,0.0,607,19841,655
907,2,0.1,0.0,908,19841,899
1217,3,0.1,0.0,1218,19841,1062
1527,3,0.1,0.0,1528,19841,901
1834,3,-0.1,0.0,1836,19841,706
2141,1,-0.9,0.0,2143,180,429
2393,70,89.8,0.0,2428,17700,512
2386,374,90.8,0.0,2732,19841,1
2383,680,90.5,0.0,3038,19841,621
2380,988,90.5,0.0,3347,19841,880
2378,1293,90.5,0.0,3652,19841,807
2375,1598,90.5,0.0,3958,19841,516
2374,1800,90.5,0.0,4161,19841,100
