0,0,177.5,0.0,0,19841,100
-302,13,177.5,0.0,302,19841,625
-602,27,177.5,0.0,603,1908,834
-907,50,168.2,0.0,910,400,639
-1152,211,125.2,0.0,1210,871,692
-1274,498,104.6,0.0,1524,2380,855
-1330,813,96.8,0.0,1845,7368,1022
-1359,1123,94.4,0.0,2156,19841,1169
-1383,1445,94.0,0.0,2479,19841,1308
-1406,1756,94.8,0.0,2791,9443,1241
-1437,2068,96.8,0.0,3106,5335,1122
-1481,2370,100.0,0.0,3411,3014,1005
-1549,2672,105.9,0.0,3721,1493,881
-1663,2966,118.1,0.0,4038,640,753
-1867,3205,146.4,0.0,4355,603,733
-2167,3297,176.6,0.0,4672,1256,831
-2476,3272,-169.3,0.0,4982,2770,957
-2779,3195,-162.8,0.0,5296,6047,1093
-3084,3090,-159.7,0.0,5619,16731,1237
-3380,2976,-158.6,0.0,5937,19841,1367
-3662,2866,-158.8,0.0,6240,15809,1487
-3952,2757,-159.9,0.0,6550,8843,1576
-4248,2654,-161.9,0.0,6864,7464,1518
-4547,2563,-164.3,0.0,7177,6427,1399
-4844,2487,-167.1,0.0,7485,5208,1285
-5164,2424,-170.7,0.0,7812,3942,1162
-5470,2385,-175.2,0.0,8120,2774,1041
-5781,2376,178.4,0.0,8433,1778,918
-6083,2408,168.6,0.0,8737,1041,808
-6372,2508,151.6,0.0,9046,663,701
-6606,2715,124.4,0.0,9360,838,828
-6725,2997,103.3,0.0,9668,1426,950
-6761,3309,90.7,0.0,9984,2068,912
-6741,3615,82.2,0.0,10291,2375,924
-6681,3909,74.9,0.0,10591,1952,845
-6580,4199,65.9,0.0,10899,671,667
-6413,4453,39.8,0.0,11204,205,457
-6142,4411,-41.5,0.0,11494,4126,711
-5926,4186,-45.8,0.0,11805,779,694
-5685,4002,-23.4,0.0,12111,385,549
-5392,4004,20.9,0.0,12408,1044,668
-5131,4160,37.6,0.0,12712,2633,746
-4905,4358,44.2,0.0,13013,5319,880
-4683,4589,47.6,0.0,13333,10351,1041
-4469,4832,49.4,0.0,13656,19841,1204
-4267,5071,50.2,0.0,13969,19841,1346
-4065,5315,50.3,0.0,14286,19841,1471
-3864,5557,50.3,0.0,14601,19841,1582
-3668,5793,50.3,0.0,14908,19841,1455
-3466,6035,50.3,0.0,15223,19841,1312
-3266,6276,50.3,0.0,15537,19841,1151
-3065,6518,50.3,0.0,15851,19841,964
-2866,6757,50.3,0.0,16162,19841,733
-2598,7079,50.3,0.0,16581,19841,100
