0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
2,0
3,1
3,1
4,1
6,2
8,2
9,3
10,3
11,3
12,3
13,4
14,4
15,4
16,4
19,5
20,5
22,6
23,6
25,6
27,7
28,7
30,8
32,8
35,9
37,10
39,10
41,11
43,11
45,12
47,12
49,12
51,13
53,13
56,14
60,15
62,16
65,16
67,17
70,18
72,18
75,19
78,19
80,20
83,21
88,22
91,23
94,23
96,24
99,25
102,25
105,26
108,27
111,28
117,29
120,30
123,31
126,32
129,33
133,33
136,34
139,35
142,36
146,37
156,40
160,41
163,42
166,43
170,44
174,45
178,46
181,47
185,49
189,50
196,53
200,54
204,55
208,57
212,59
216,61
219,63
223,65
227,67
231,69
240,73
244,75
248,78
252,80
257,83
261,86
267,90
271,93
276,96
283,101
287,104
292,107
297,111
301,114
306,118
310,122
315,126
319,130
324,134
333,143
339,149
344,154
348,159
353,164
357,168
361,173
366,178
370,183
375,188
383,199
388,204
392,209
396,215
401,220
405,225
409,231
414,236
418,242
422,248
431,259
435,265
439,271
443,277
447,282
451,288
455,294
459,300
464,306
468,312
476,325
479,331
483,338
487,344
491,350
495,357
499,364
503,370
507,377
511,384
519,397
523,403
526,410
530,416
534,423
537,429
541,436
544,442
548,448
551,455
558,467
562,473
565,479
568,486
571,492
574,498
577,505
580,511
583,517
592,536
595,543
597,549
600,555
602,562
604,568
606,575
611,587
612,594
615,600
617,606
618,612
620,619
622,625
623,631
625,638
626,644
627,650
629,656
630,663
633,675
634,681
635,687
636,694
637,700
638,707
639,714
639,720
640,727
641,739
642,749
643,756
643,762
644,768
644,775
644,781
644,788
644,791
645,797
645,810
645,817
644,823
644,830
643,839
642,846
641,852
640,858
639,865
638,871
637,877
635,887
633,893
632,899
631,905
629,911
627,917
623,926
621,932
619,938
611,955
609,961
606,967
603,973
600,978
597,983
594,989
591,995
587,1000
580,1012
577,1017
573,1023
569,1028
564,1033
560,1038
556,1044
553,1049
548,1054
544,1059
536,1070
531,1075
527,1080
522,1085
517,1090
513,1095
508,1100
503,1105
499,1110
494,1114
484,1124
479,1129
474,1134
469,1138
464,1143
459,1148
454,1153
449,1157
444,1162
433,1171
428,1176
423,1181
417,1185
412,1190
406,1195
400,1199
395,1204
389,1208
383,1213
377,1217
364,1225
358,1230
352,1234
345,1239
338,1243
332,1247
325,1252
318,1256
312,1260
305,1264
291,1272
284,1277
277,1281
270,1285
263,1289
256,1293
249,1297
243,1301
232,1307
225,1311
215,1317
208,1321
201,1325
194,1329
187,1334
179,1338
172,1341
151,1354
144,1358
137,1362
129,1366
122,1370
115,1374
108,1379
101,1383
93,1386
86,1391
79,1396
71,1400
53,1411
45,1415
