90,0,0,0,-73,100,-26,9
90,1,2,-3,-73,99,-26,9
90,1,2,-3,-73,99,-26,9
90,-10,11,0,-73,100,-26,9
90,-20,22,-1,-73,100,-26,9
90,-34,35,-1,-72,100,-27,9
91,-36,44,-7,-72,100,-27,8
91,-42,52,-9,-72,100,-27,8
95,-53,63,-10,-72,100,-27,7
97,-58,74,-15,-72,100,-27,6
99,-68,85,-16,-72,100,-27,5
101,-71,90,-19,-72,100,-27,4
105,-76,109,-18,-72,100,-28,2
107,-82,111,-24,-72,100,-28,1
109,-86,115,-28,-74,103,-29,0
110,-84,111,-31,-76,107,-30,0
111,-83,105,-36,-81,113,-32,0
112,-85,95,-37,-83,117,-33,0
113,-90,95,-32,-91,127,-35,1
114,-74,99,-31,-93,131,-36,1
116,-70,105,-32,-95,134,-37,0
117,-65,110,-27,-98,137,-38,0
118,-67,125,-28,-105,147,-42,1
119,-81,134,-38,-108,150,-43,1
121,-95,143,-47,-113,157,-45,1
122,-98,146,-45,-115,161,-45,1
124,-110,155,-48,-118,164,-47,1
126,-109,157,-47,-122,171,-48,1
127,-116,165,-49,-125,174,-49,1
128,-126,175,-50,-130,181,-51,2
131,-124,176,-43,-132,184,-53,1
134,-133,186,-38,-139,194,-56,2
136,-133,190,-47,-141,198,-57,1
138,-140,196,-45,-144,201,-59,1
140,-135,197,-49,-146,205,-60,1
142,-136,197,-55,-151,211,-62,1
145,-141,202,-65,-153,215,-63,1
146,-143,200,-66,-158,222,-65,2
148,-135,197,-73,-160,225,-65,2
150,-152,204,-66,-163,228,-66,2
152,-157,206,-66,-165,232,-67,2
154,-154,209,-63,-167,235,-68,2
160,-157,227,-57,-172,242,-71,1
162,-165,232,-55,-174,246,-72,1
164,-169,237,-59,-179,252,-74,2
166,-175,239,-65,-181,256,-75,2
169,-184,254,-74,-184,259,-76,2
172,-178,255,-78,-186,263,-77,1
175,-177,264,-77,-188,266,-78,1
178,-178,262,-73,-191,269,-79,1
180,-178,260,-68,-193,273,-80,1
181,-188,271,-69,-198,279,-82,3
188,-187,261,-82,-203,286,-84,2
190,-196,257,-82,-206,290,-85,2
193,-201,269,-86,-208,293,-86,2
196,-196,281,-82,-211,296,-86,2
199,-202,289,-78,-213,300,-87,2
202,-197,287,-78,-216,303,-88,2
206,-208,288,-74,-218,306,-89,1
209,-214,287,-71,-221,310,-90,1
214,-213,294,-79,-224,313,-90,0
219,-214,302,-90,-231,323,-92,2
222,-221,303,-97,-234,326,-93,2
225,-222,310,-98,-238,329,-92,2
229,-227,316,-89,-241,332,-92,1
233,-227,319,-74,-244,335,-92,1
236,-219,323,-75,-247,338,-93,1
239,-224,332,-77,-251,341,-92,1
242,-228,331,-85,-254,344,-92,1
244,-242,342,-80,-260,351,-93,3
247,-238,344,-90,-263,354,-93,3
260,-250,336,-93,-277,361,-86,1
264,-266,339,-95,-282,364,-84,1
266,-264,341,-93,-288,370,-84,3
269,-274,349,-83,-293,372,-81,3
274,-274,366,-83,-299,374,-77,2
276,-293,381,-83,-306,380,-76,4
281,-284,368,-79,-312,381,-71,3
285,-293,367,-69,-318,382,-67,3
288,-297,370,-68,-326,388,-64,4
292,-294,367,-69,-337,385,-51,4
300,-307,365,-92,-354,389,-37,4
303,-319,372,-85,-360,395,-36,5
308,-326,385,-83,-364,398,-34,4
311,-336,390,-64,-371,403,-32,5
316,-348,389,-38,-384,409,-26,7
321,-355,391,-26,-390,410,-21,6
